TabNam,ColNam,DQLVL,DQLVL,abbr,cat
attribute_definition,attribute_definition_id,Yes,Yes,atrd,vocabulary
attribute_definition,attribute_name,Yes,Yes,atrd,vocabulary
attribute_definition,attribute_description,No,No,atrd,vocabulary
attribute_definition,attribute_type_concept_id,Yes,Yes,atrd,vocabulary
attribute_definition,attribute_syntax,No,No,atrd,vocabulary
care_site,care_site_id,Yes,Yes,cars,health_system
care_site,care_site_name,No,No,cars,health_system
care_site,place_of_service_concept_id,No,No,cars,health_system
care_site,location_id,No,No,cars,health_system
care_site,care_site_source_value,No,No,cars,health_system
care_site,place_of_service_source_value,No,No,cars,health_system
cdm_source,cdm_source_name,Yes,Yes,cdms,meta_data
cdm_source,cdm_source_abbreviation,No,No,cdms,meta_data
cdm_source,cdm_holder,No,No,cdms,meta_data
cdm_source,source_description,No,No,cdms,meta_data
cdm_source,source_documentation_reference,No,No,cdms,meta_data
cdm_source,cdm_etl_reference,No,No,cdms,meta_data
cdm_source,source_release_date,No,No,cdms,meta_data
cdm_source,cdm_release_date,No,No,cdms,meta_data
cdm_source,cdm_version,No,No,cdms,meta_data
cdm_source,vocabulary_version,No,No,cdms,meta_data
cohort,cohort_definition_id,Yes,Yes,chrt,derived_element
cohort,subject_id,Yes,Yes,chrt,derived_element
cohort,cohort_start_date,Yes,Yes,chrt,derived_element
cohort,cohort_end_date,Yes,Yes,chrt,derived_element
cohort_attribute,cohort_definition_id,Yes,Yes,chra,derived_element
cohort_attribute,subject_id,Yes,Yes,chra,derived_element
cohort_attribute,cohort_start_date,Yes,Yes,chra,derived_element
cohort_attribute,cohort_end_date,Yes,Yes,chra,derived_element
cohort_attribute,attribute_definition_id,Yes,Yes,chra,derived_element
cohort_attribute,value_as_number,No,No,chra,derived_element
cohort_attribute,value_as_concept_id,No,No,chra,derived_element
cohort_definition,cohort_definition_id,Yes,Yes,cohd,vocabulary
cohort_definition,cohort_definition_name,Yes,Yes,cohd,vocabulary
cohort_definition,cohort_definition_description,No,No,cohd,vocabulary
cohort_definition,definition_type_concept_id,Yes,Yes,cohd,vocabulary
cohort_definition,cohort_definition_syntax,No,No,cohd,vocabulary
cohort_definition,subject_concept_id,Yes,Yes,cohd,vocabulary
cohort_definition,cohort_initiation_date,No,No,cohd,vocabulary
concept,concept_id,Yes,H,cnpt,vocabulary
concept,concept_name,Yes,H,cnpt,vocabulary
concept,domain_id,Yes,H,cnpt,vocabulary
concept,vocabulary_id,Yes,H,cnpt,vocabulary
concept,concept_class_id,Yes,H,cnpt,vocabulary
concept,standard_concept,No,L,cnpt,vocabulary
concept,concept_code,Yes,H,cnpt,vocabulary
concept,valid_start_date,Yes,H,cnpt,vocabulary
concept,valid_end_date,Yes,H,cnpt,vocabulary
concept,invalid_reason,No,L,cnpt,vocabulary
concept_ancestor,ancestor_concept_id,Yes,H,cnan,vocabulary
concept_ancestor,descendant_concept_id,Yes,H,cnan,vocabulary
concept_ancestor,min_levels_of_separation,Yes,H,cnan,vocabulary
concept_ancestor,max_levels_of_separation,Yes,H,cnan,vocabulary
concept_class,concept_class_id,Yes,H,cncl,vocabulary
