TabNam,ColNam,primary,Required,abbr,cat
concept,concept_id,TRUE,Yes,cnpt,vocabulary
concept,concept_name,FALSE,Yes,cnpt,vocabulary
concept,domain_id,FALSE,Yes,cnpt,vocabulary
concept,vocabulary_id,FALSE,Yes,cnpt,vocabulary
concept,concept_class_id,FALSE,Yes,cnpt,vocabulary
concept,standard_concept,FALSE,No,cnpt,vocabulary
concept,concept_code,FALSE,Yes,cnpt,vocabulary
concept,valid_start_date,FALSE,Yes,cnpt,vocabulary
concept,valid_end_date,FALSE,Yes,cnpt,vocabulary
concept,invalid_reason,FALSE,No,cnpt,vocabulary
vocabulary,vocabulary_id,TRUE,Yes,vocb,vocabulary
vocabulary,vocabulary_name,FALSE,Yes,vocb,vocabulary
vocabulary,vocabulary_reference,FALSE,Yes,vocb,vocabulary
vocabulary,vocabulary_version,FALSE,No,vocb,vocabulary
vocabulary,vocabulary_concept_id,FALSE,Yes,vocb,vocabulary
domain,domain_id,TRUE,Yes,domn,vocabulary
domain,domain_name,FALSE,Yes,domn,vocabulary
domain,domain_concept_id,FALSE,Yes,domn,vocabulary
concept_class,concept_class_id,TRUE,Yes,cncl,vocabulary
concept_class,concept_class_name,FALSE,Yes,cncl,vocabulary
concept_class,concept_class_concept_id,FALSE,Yes,cncl,vocabulary
concept_relationship,concept_id_1,FALSE,Yes,cnrl,vocabulary
concept_relationship,concept_id_2,FALSE,Yes,cnrl,vocabulary
concept_relationship,relationship_id,FALSE,Yes,cnrl,vocabulary
concept_relationship,valid_start_date,FALSE,Yes,cnrl,vocabulary
concept_relationship,valid_end_date,FALSE,Yes,cnrl,vocabulary
concept_relationship,invalid_reason,FALSE,No,cnrl,vocabulary
relationship,relationship_id,TRUE,Yes,rlsh,vocabulary
relationship,relationship_name,FALSE,Yes,rlsh,vocabulary
relationship,is_hierarchical,FALSE,Yes,rlsh,vocabulary
relationship,defines_ancestry,FALSE,Yes,rlsh,vocabulary
relationship,reverse_relationship_id,FALSE,Yes,rlsh,vocabulary
relationship,relationship_concept_id,FALSE,Yes,rlsh,vocabulary
concept_synonym,concept_id,FALSE,Yes,cnsy,vocabulary
concept_synonym,concept_synonym_name,FALSE,Yes,cnsy,vocabulary
concept_synonym,language_concept_id,FALSE,Yes,cnsy,vocabulary
concept_ancestor,ancestor_concept_id,FALSE,Yes,cnan,vocabulary
concept_ancestor,descendant_concept_id,FALSE,Yes,cnan,vocabulary
concept_ancestor,min_levels_of_separation,FALSE,Yes,cnan,vocabulary
concept_ancestor,max_levels_of_separation,FALSE,Yes,cnan,vocabulary
source_to_concept_map,source_code,FALSE,Yes,stcm,vocabulary
source_to_concept_map,source_concept_id,FALSE,Yes,stcm,vocabulary
source_to_concept_map,source_vocabulary_id,FALSE,Yes,stcm,vocabulary
source_to_concept_map,source_code_description,FALSE,No,stcm,vocabulary
source_to_concept_map,target_concept_id,FALSE,Yes,stcm,vocabulary
source_to_concept_map,target_vocabulary_id,FALSE,Yes,stcm,vocabulary
source_to_concept_map,valid_start_date,FALSE,Yes,stcm,vocabulary
source_to_concept_map,valid_end_date,FALSE,Yes,stcm,vocabulary
source_to_concept_map,invalid_reason,FALSE,No,stcm,vocabulary
drug_strength,drug_concept_id,FALSE,Yes,drgs,vocabulary
